resume_index,job_1_match_score,job_2_match_score,job_3_match_score
1305,"('Business Analyst Senior', np.float64(0.955156586403509))","('Django Python Developer', np.float64(0.9545223100121998))","('Django Python Developer', np.float64(0.9545223100121998))"
1306,"('Senior Analyst- Tax Technology', np.float64(0.8597980144632427))","('Senior Analyst- Tax Technology', np.float64(0.8597980144632427))","('Assistant Manager Finance', np.float64(0.8478501479556297))"
1307,"('Analytics Manager', np.float64(0.9795987874626017))","('WebGL Developer', np.float64(0.9793554158741876))","('WebGL Developer', np.float64(0.9793554158741876))"
1308,"('MongoDB Developer', np.float64(0.9653837920317211))","('Marklogic Developer', np.float64(0.9413206381100797))","('Marklogic Developer', np.float64(0.9413206381100797))"
1309,"('Automation Engineer | 2022 & 2021 Batch - Bangalore/ Gurugram', np.float64(0.9551412059083229))","('Analog & Mixed Signal Design Engineers  (7-14 Years) - Full Time Positions -  Noida & Bangalore', np.float64(0.949867079612674))","('Power BI Developer', np.float64(0.9486157551828203))"
1310,"('Lead Data Engineer', np.float64(0.9363440791648863))","('Lead Data Engineer', np.float64(0.9363440791648863))","('Lead Data Engineer', np.float64(0.9363440791648863))"
1311,"('Project Manager', np.float64(0.8585017593868118))","('MS SQL Developer', np.float64(0.8515990954016408))","('MS SQL Developer', np.float64(0.8515990954016408))"
1312,"('Executive Assistant to U.S. Attorneys', np.float64(0.8382398670555605))","('Executive Assistant to U.S. Attorneys', np.float64(0.8382398670555605))","('Japanese Designer', np.float64(0.8350353119657679))"
1313,"('Research and Promotions intern', np.float64(0.9041243255644122))","('Business Analyst', np.float64(0.8736566454846257))","('Executive Office Operations', np.float64(0.8555647869816518))"
1314,"('Python Developer, Forward Kitchens (Remote) - $60,000/year USD', np.float64(0.9375140785275197))","('Python Developer, Forward Kitchens (Remote) - $60,000/year USD', np.float64(0.9375140785275197))","('Python Developer, Forward Kitchens (Remote) - $60,000/year USD', np.float64(0.9375140785275197))"
1315,"('Digital Analyst', np.float64(0.915973287616595))","('News Reporter', np.float64(0.9118425939461515))","('Public Relation Intern', np.float64(0.9035075554968048))"
1316,"('Business Development Manager', np.float64(0.9432292767477545))","('Business Development Specialist', np.float64(0.9212298992018104))","('Business Development Manager', np.float64(0.9049460681437254))"
1317,"('Sales and BD- Influencer Marketing', np.float64(0.9769853906320511))","('Social Media Marketing Specialist', np.float64(0.951068783249862))","('Business Development Manager', np.float64(0.9412385663324554))"
1318,"('Java Support :- Client Services Analyst', np.float64(0.967991259894931))","('Java Support :- Client Services Analyst', np.float64(0.967991259894931))","('Content Writer', np.float64(0.9517363123738898))"
1319,"('Online Space Food Development Internship', np.float64(0.8416179707970929))","('Space Food R&D Internship (Online)', np.float64(0.8318133399349837))","('Chef', np.float64(0.827021684395079))"
1320,"('Business Analyst - HRMS Systems Analyst', np.float64(0.9540513909344992))","('Business Analyst - HRMS Systems Analyst', np.float64(0.9540513909344992))","('Business Analyst - HRMS Systems Analyst', np.float64(0.9540513909344992))"
1321,"('Senior Business Analyst - Salesforce', np.float64(0.9068070797315361))","('Senior Business Analyst - Salesforce', np.float64(0.9068070797315361))","('Senior Analyst', np.float64(0.9012382599886382))"
1322,"('Camera', np.float64(0.9268615756681121))","('Big Data Developer', np.float64(0.9163934282911326))","('Copywriter', np.float64(0.89967747670318))"
1323,"('Business Development Manager: B2B Sales', np.float64(0.9860900546411508))","('Senior Marketing Executive- Affiliate Marketing', np.float64(0.9854789961584421))","('Sr ISC Analytics Specialist', np.float64(0.9807371861074778))"
1324,"('Co-Founder', np.float64(0.8696710391021374))","('Data Engineer', np.float64(0.8546398910302098))","('Virtual Account Executive', np.float64(0.8255220587327277))"
1325,"('Interim Legal Counsel', np.float64(0.8812229843384357))","('Business Analyst - HRMS Systems Analyst', np.float64(0.8774798955137135))","('Business Analyst - HRMS Systems Analyst', np.float64(0.8774798955137135))"
1326,"('Citrix Engineer', np.float64(0.9663490875484397))","('End User Computing Engineer', np.float64(0.9492987416256004))","('Dynatrace', np.float64(0.9476693234853013))"
1327,"('General Manager Finance', np.float64(0.8800325071569282))","('Operations Associate', np.float64(0.8748662618128773))","('Operations Associate', np.float64(0.8748662618128773))"
1328,"('SAP KRONOS Technical Consultant', np.float64(0.9999999165534973))","('Senior Analyst(5-10 Yrs)Intune,SCCM,Azure AD,patching and deployment,', np.float64(0.9777112209881929))","('Senior Analyst(5-10 Yrs)Intune,SCCM,Azure AD,patching and deployment,', np.float64(0.9777112209881929))"
1329,"('Data Technician', np.float64(0.9868669428222894))","('iOS Developer', np.float64(0.9675199247725956))","('Senior Market Analyst - Networking', np.float64(0.9490965453535127))"
1330,"('Senior Unreal Game Developer', np.float64(0.909048499659377))","('Game Designer', np.float64(0.9023141391493295))","('Unity Developer', np.float64(0.8833354269998192))"
1331,"('MIS Executive (Bizom)', np.float64(0.8857392362227603))","('Business Development Executive', np.float64(0.8832147511148519))","('Inside Sales Executive', np.float64(0.8678994027283737))"
1332,"('Consultant Dermatologists', np.float64(0.7760860090182502))","('Regulatory Affairs Specialist', np.float64(0.7725631698846848))","('Fellowship In Robotic knee replacement', np.float64(0.7692946600941175))"
1333,"('Mathematician', np.float64(0.9394185132371528))","('Mathematician', np.float64(0.9394185132371528))","('Complex device driver', np.float64(0.9154464364051819))"
1334,"('Telesales', np.float64(0.9196977559712841))","('Assistant Manager -Customer Experience', np.float64(0.8816611292909126))","('Vendor Management Analyst', np.float64(0.8798989270170475))"
1335,"('JRF', np.float64(0.9855266097817827))","('Artificial Intelligence Engineer', np.float64(0.9784385955898264))","('Artificial Intelligence Engineer', np.float64(0.9784385955898264))"
1336,"('Sr Product Designer', np.float64(0.8903026030556279))","('Graphic Design Intern', np.float64(0.8851246657611226))","('Game Designer', np.float64(0.8788713560244246))"
1337,"('Sr Product Designer', np.float64(0.9533377743849231))","('Node JS Developer', np.float64(0.9528910124333307))","('AR/VR Technical Developer', np.float64(0.9446053179485437))"
1338,"('Kafka', np.float64(0.9141997617525439))","('Flutter Developer', np.float64(0.8762755810481262))","('Flutter Developer', np.float64(0.8762755810481262))"
1339,"('Financial Analyst – FP&A', np.float64(0.9297214682441196))","('Senior Analyst', np.float64(0.9031800546038001))","('Senior Analyst', np.float64(0.9031800546038001))"
1340,"('Assistant Manager -Customer Experience', np.float64(0.9770729336827487))","('Business Development Executive', np.float64(0.9688139431387561))","('Sales Fresher', np.float64(0.967572504968831))"
1341,"('GRC Analyst', np.float64(0.9259039679817448))","('Python Lead', np.float64(0.9017615841055655))","('Robotic Process Automation Consultant', np.float64(0.9010685083206398))"
1342,"('Business Development Executive', np.float64(0.9375927594846503))","('Business Development Executive', np.float64(0.9199581731335157))","('Power BI Developer', np.float64(0.8932390985685178))"
1343,"('Data Analyst - Snowflake', np.float64(0.9720674390306654))","('Lead Data Analyst', np.float64(0.9702117199467523))","('Lead Data Analyst', np.float64(0.9702117199467523))"
1344,"('Franchise Sales (B2B Sales Experience Required)', np.float64(0.9811286114172333))","('System Sales Engineer', np.float64(0.9600488837577246))","('Accounting Analyst [T500-5422]', np.float64(0.9467107965253428))"
1345,"('Senior Staff Data Scientist', np.float64(0.8548506518019102))","('Sr Product Designer', np.float64(0.853735139435989))","('Senior - Revenue Accountant', np.float64(0.8524274286045752))"
1346,"('Recruiter', np.float64(0.9512290358920028))","('Customer Service Representative', np.float64(0.9178915539442896))","('Customer Service Representative', np.float64(0.9019934047773828))"
1347,"('Business Analyst (Asset Servicing/Corporate Actions)', np.float64(0.9461473698038066))","('Business Analyst (Asset Servicing/Corporate Actions)', np.float64(0.9461473698038066))","('Business Analyst (Asset Servicing/Corporate Actions)', np.float64(0.9461473698038066))"
1348,"('Sr Product Designer', np.float64(0.9285330521735214))","('Shopify Developer', np.float64(0.8910973156039835))","('Business Development Manager-Prestige', np.float64(0.8805345862369098))"
1349,"('Business Development Executive', np.float64(0.845264055262225))","('Business Development Executive', np.float64(0.845264055262225))","('Sr ISC Analytics Specialist', np.float64(0.8424697248789709))"
1350,"('Senior Analyst', np.float64(0.9293640892684483))","('Business Analyst', np.float64(0.9057485131846126))","('Business Analyst', np.float64(0.9057485131846126))"
1351,"('Principal Engineer', np.float64(0.9140779175674845))","('Captain', np.float64(0.9065620796840562))","('Online Space Food Development Internship', np.float64(0.8670956361942125))"
1352,"('Dotnet Developer', np.float64(0.9900721441790516))","('PHP Developer', np.float64(0.9885736546382378))","('PHP Developer', np.float64(0.9885736546382378))"
1353,"('Financial Controller', np.float64(0.9144458159084622))","('Financial Accountant', np.float64(0.9095904134023837))","('Software Engineer Java SQL/PLSQL (Technical Core)', np.float64(0.8920155763008003))"
1354,"('Financial Analyst', np.float64(0.9033276624823919))","('Financial Analyst', np.float64(0.9033276624823919))","('Assistant Manager Finance', np.float64(0.896465551315243))"
1355,"('Senior Software Engineer[Data Plane] |  Sandvine |  Bangalore', np.float64(0.9813303603884012))","('Senior Software Engineer[Data Plane] |  Sandvine |  Bangalore', np.float64(0.9813303603884012))","('Kubernetes Engineer', np.float64(0.9678243869693917))"
1356,"('Manager - Process Risk & Controls', np.float64(0.8753732236306913))","('Machine learning training + internship', np.float64(0.8716342555740032))","('Sales Operations Analyst, Trilogy (Remote) - $30,000/year USD', np.float64(0.8701684880674669))"
1357,"('Shopify Developer', np.float64(0.9999999761581421))","('Lead Computer Vision Engineer', np.float64(0.9383834207084698))","('Shopify Developer', np.float64(0.9348972865447303))"
1358,"('Senior Data Engineer', np.float64(0.955510607783594))","('Lead Data Engineer', np.float64(0.9525594597743385))","('Lead Data Engineer', np.float64(0.9525594597743385))"
1359,"('FCL Procurement Analyst', np.float64(0.8863170033468929))","('FCL Procurement Analyst', np.float64(0.8863170033468929))","('FCL Procurement Analyst', np.float64(0.8863170033468929))"
1360,"('Sr. Associate / Associate - Governance and Risk Officer', np.float64(0.9624943388028904))","('FCL Procurement Analyst', np.float64(0.8958777550569815))","('FCL Procurement Analyst', np.float64(0.8958777550569815))"
1361,"('Sales Specialist', np.float64(0.9338640972345191))","('Merchandising Analyst - Inventory Planning [T500-6229]', np.float64(0.9157927160389114))","('Merchandising Analyst - Inventory Planning [T500-6229]', np.float64(0.9157927160389114))"
1362,"('Project Manager', np.float64(0.9793770690451067))","('Lead- IT Procurement(Data Center & Cloud)', np.float64(0.9740002808206389))","('Senior Business Analyst', np.float64(0.9512249396590978))"
1363,"('Educational Counselor', np.float64(0.9189105496265026))","('Data Analyst', np.float64(0.7856379787244752))","('Data Analyst', np.float64(0.7856379787244752))"
1364,"('ISS Navigation Engineer', np.float64(0.9542992711091229))","('ISS Navigation Engineer', np.float64(0.9542992711091229))","('Technical Officer-Injection Moulding', np.float64(0.8836335819513577))"
1365,"('Salesforce Developer', np.float64(0.9605852416351467))","('Salesforce Developer', np.float64(0.9605852416351467))","('Business Development Manager', np.float64(0.9364388055619088))"
1366,"('Sourcing Specialist', np.float64(0.9739988591327466))","('Senior US IT Recruiter', np.float64(0.9504279064253339))","('Business Development Manager', np.float64(0.9485004905993017))"
1367,"('Angular JS Developer', np.float64(0.9218816100956178))","('Techno Functional Analyst', np.float64(0.8926208449970202))","('Techno Functional Analyst', np.float64(0.8926208449970202))"
1368,"('GIS Developers', np.float64(0.9582659083343733))","('Geographic Information Systems Analyst', np.float64(0.8879062109982828))","('Azure Devops Engineer', np.float64(0.8830342927117978))"
1369,"('Technical Trainer', np.float64(0.9802125827748263))","('Content Writer - Immediate Joining', np.float64(0.9700025533765226))","('Machine learning training + internship', np.float64(0.9662060729141464))"
1370,"('Head - Key Accounts (Institutional & Govt. Business)', np.float64(0.9940013217242363))","('Teamcenter customization - Architect', np.float64(0.9427094638911538))","('InfoTech - Business Analyst – Commercial', np.float64(0.9413685279018372))"
1371,"('Inside sales counsellor', np.float64(0.926830439061909))","('Assistant Manager -Customer Experience', np.float64(0.9184474513689194))","('Business Development Manager', np.float64(0.912140859451315))"
1372,"('React Native Android/iOS APP Developer', np.float64(0.9408816310001774))","('Solarwind Development Engineer', np.float64(0.9353651996088007))","('Sr ISC Analytics Specialist', np.float64(0.9283725573971658))"
1373,"('Manager, Data Science', np.float64(0.9560144100368684))","('Manager, Data Science', np.float64(0.9560144100368684))","('Senior Python Developer', np.float64(0.9555064159501201))"
1374,"('Financial Accountant', np.float64(0.9423321418721777))","('PTP Payment Analyst', np.float64(0.9318604922324978))","('R40008/R40009/R40010- Senior Internal Audit Analyst', np.float64(0.9286362542469888))"
1375,"('Business Development Associate', np.float64(0.9232750993547267))","('account internship', np.float64(0.902645828984602))","('Software Sales Consultant', np.float64(0.8886994053403402))"
1376,"('Sales And Marketing Specialist', np.float64(0.9713705169417415))","('Senior Account Analyst', np.float64(0.9545961478874777))","('Senior Account Analyst', np.float64(0.9545961478874777))"
1377,"('News Reporter', np.float64(0.9349193911127159))","('Public Relations Executive', np.float64(0.9096130681512198))","('Customer Relationship Management Executive', np.float64(0.8636907572711182))"
1378,"('Business Development Manager', np.float64(0.9263364441822377))","('Business Development Associate', np.float64(0.9138864406058608))","('Business Development Manager', np.float64(0.9080345409674171))"
1379,"('Quantitative Analyst', np.float64(0.9504786016393496))","('Lead Analyst- Credit Research', np.float64(0.9493935905001731))","('Senior Analyst- Investment Banking', np.float64(0.942133566371161))"
1380,"('Inside Sales Executive', np.float64(0.9724333660266179))","('Inside Sales Specialist', np.float64(0.9522912622690087))","('Product Support Engineer', np.float64(0.9268435635003988))"
1381,"('Sales Head', np.float64(0.9616412913636815))","('Quality Analyst (Tele Collection BPO)', np.float64(0.925486237249693))","('Quality Analyst (Tele Collection BPO)', np.float64(0.925486237249693))"
1382,"('Corda Developer', np.float64(0.9205617012188617))","('Service Desk Analyst', np.float64(0.9067377426683029))","('Customer Service Specialist(SDA)', np.float64(0.9067377426683029))"
1383,"('AVP Senior Data Engineer', np.float64(0.9715807050853722))","('AVP Senior Data Engineer', np.float64(0.9715807050853722))","('AI Technologist', np.float64(0.9544448860919771))"
1384,"('C# Developer', np.float64(0.7560619816269221))","('Business Analyst', np.float64(0.7541624865573052))","('Business Analyst', np.float64(0.7541624865573052))"
1385,"('Project Manager', np.float64(0.9251798633386602))","('Project Lead', np.float64(0.8960537181778726))","('Marketing Analyst', np.float64(0.8801501507078777))"
1386,"('Data Governance Manager', np.float64(0.976353051972412))","('Data Analyst - Ad Operations', np.float64(0.9653676852585255))","('Technical Consultant- Data Integration', np.float64(0.9652389258177633))"
1387,"('Senior Product Marketer', np.float64(0.8715887521680679))","('Power App Developer', np.float64(0.8657586354267205))","('Power App Developer', np.float64(0.8657586354267205))"
1388,"('Field Marketing Executive', np.float64(0.9153967220573943))","('Content Editor MotoGP', np.float64(0.9133502725359608))","('Customer Support - Team Lead', np.float64(0.9123281276088914))"
1389,"('Territory Sales Manager', np.float64(0.9104898113056605))","('Shopify Developer', np.float64(0.8906177071708183))","('Sr. Associate; Data Analyst (Google Analytics)', np.float64(0.8865129171422129))"
1390,"('Content Writer - Immediate Joining', np.float64(0.9347689629438163))","('D365 Functional Consultant- Business Analyst', np.float64(0.9268609234975704))","('D365 Functional Consultant- Business Analyst', np.float64(0.9268609234975704))"
1391,"('Zumba Instructor', np.float64(0.8556550540011792))","('Teacher', np.float64(0.6694936276052377))","('Affiliate Marketing Manager', np.float64(0.6019919646788986))"
1392,"('Shopify Developer', np.float64(0.9387098095477158))","('Shopify Developer', np.float64(0.9387098095477158))","('Mern stack developer', np.float64(0.9344842589864241))"
1393,"('Anti-Money Laundering Analyst', np.float64(0.9108952172457548))","('Manager - Finance and Accounts', np.float64(0.8625225790416873))","('Senior Manager - Finance and Accounts', np.float64(0.8430119817957471))"
1394,"('Affiliate Marketing Manager', np.float64(0.68675853684523))","('Teacher', np.float64(0.6563182631905831))","('Spark Apache+Big Data  Exp:10-13 yrs', np.float64(0.6333875992356826))"
1395,"('Business Development Executive', np.float64(0.9355510289809537))","('Business Development Executive', np.float64(0.9355510289809537))","('Business Development Executive', np.float64(0.9290912375613769))"
1396,"('Python Developer', np.float64(0.9389374171396698))","('Python Developer', np.float64(0.9389374171396698))","('Python Developer- Immediate Joiner', np.float64(0.9389374171396698))"
1397,"('Intern', np.float64(0.9726045105736411))","('Volunteers', np.float64(0.9250069992158286))","('Game Developer', np.float64(0.8512251532486022))"
1398,"('Human Resources Intern', np.float64(0.930134393967936))","('Human Resources Specialist', np.float64(0.882058327251905))","('Compensation Analyst', np.float64(0.8519777892771978))"
1399,"('Management Trainee', np.float64(0.97485946714603))","('MSP Program Manager', np.float64(0.931010399491847))","('Senior Public Relations Executive', np.float64(0.92659412590348))"
1400,"('Business Development Executive', np.float64(0.9250607224887717))","('Associate Medical Data Review Manager', np.float64(0.9248613141625109))","('Azure DevOps Engineer', np.float64(0.914072400957503))"
1401,"('Occupational Therapist', np.float64(0.7416091922921773))","('BCM Embedded Developer', np.float64(0.6893171668984837))","('BCM Embedded Developer', np.float64(0.6893171668984837))"
1402,"('Senior Business Analyst', np.float64(0.9548871847531436))","('Senior Business Analyst', np.float64(0.9548871847531436))","('Assistant Manager', np.float64(0.9284820357090608))"
1403,"('IT Sales-Business Development Manager', np.float64(0.9884223213194825))","('Relationship Manager', np.float64(0.9435675061825528))","('Business Development Manager', np.float64(0.9377232077022937))"
1404,"('Business Development Specialist', np.float64(0.9298563160007073))","('Assistant Manager -Customer Experience', np.float64(0.9175843469367378))","('Inside sales counsellor', np.float64(0.9165085304910934))"
1405,"('Doorman', np.float64(0.932837207789278))","('Marketing Analyst', np.float64(0.9229837417602539))","('Data Labeler', np.float64(0.9051175889999138))"
1406,"('Project Manager', np.float64(0.9069554218070914))","('Kafka', np.float64(0.8234990349088748))","('Data Labeler', np.float64(0.8152577017896177))"
1407,"('Copywriter', np.float64(0.9625916147514888))","('Digital Marketing Analyst', np.float64(0.9176832778010617))","('Public Relations Intern', np.float64(0.9171382546424866))"
1408,"('Sr. Analyst - Credit Analysis', np.float64(0.9475085867815709))","('Assurance Data Analyst', np.float64(0.8931606095969895))","('Sr. Systems Engineer', np.float64(0.8882859908996417))"
1409,"('Senior Engineer- Big Data Azure', np.float64(0.9394248327773))","('Senior Engineer- Big Data Azure', np.float64(0.9394248327773))","('Grafana', np.float64(0.9339310667000846))"
1410,"('Murex Front Office Consultant/Developer (Perm) - Bangalore', np.float64(0.9358105622285483))","('Senior Analyst-Equity Research (Middle Eastern Region)', np.float64(0.9268025848744027))","('Business Analyst (Asset Servicing/Corporate Actions)', np.float64(0.919862386572163))"
1411,"('IT Compliance Analyst', np.float64(0.9876106492359142))","('Customer Success Engineer - XSOAR', np.float64(0.9845299043131102))","('Business Systems Analyst - Supply Chain and Operations', np.float64(0.9843740946365463))"
1412,"('Regional Growth &Community Manager (India)', np.float64(0.9661688783586767))","('Investment Analyst', np.float64(0.9636098788961777))","('Senior Privacy Data Scientist', np.float64(0.9482561577202041))"
1413,"('Customer Service Representative', np.float64(0.9028481657413261))","('Senior Software Developer - Big Data App JAVA Full Stack', np.float64(0.9006140771545956))","('Associate Product Manager', np.float64(0.8979513067136565))"
1414,"('account internship', np.float64(0.9026050925254822))","('Account Executive', np.float64(0.8959858955555373))","('Business Analyst', np.float64(0.888073638480048))"
1415,"('Solution Consultant with Salesforce Marketing Cloud- Contract', np.float64(0.9999999761581421))","('Email Developer', np.float64(0.9999999761581421))","('Salesforce Commerce Cloud Developer', np.float64(0.9999999761581421))"
1416,"('Senior Software Project Manager', np.float64(0.9719542076635777))","('Senior Software Project Manager', np.float64(0.9719542076635777))","('Global Supply Chain Analyst - Excel & Power BI', np.float64(0.9602343217608122))"
1417,"('Recruiter', np.float64(0.8450176189326053))","('Human Resources Specialist', np.float64(0.8292716362953714))","('Intern', np.float64(0.8170784872293403))"
1418,"('Process Associate', np.float64(0.9443801101413043))","('Kafka developer', np.float64(0.9195526506164998))","('Customer Service Specialist(SDA)', np.float64(0.9064014016416139))"
1419,"('Shopify Developer', np.float64(0.9316193587101674))","('Business Development Manager - Consumer Beauty', np.float64(0.8959377228541667))","('Shopify Full Stack Developer', np.float64(0.89396580779734))"
1420,"('Cognos TM1 Developer', np.float64(0.8652243171679834))","('Flight Control Engineer', np.float64(0.8650987191583245))","('Database Developer', np.float64(0.8599110373661699))"
1421,"('Business Analyst', np.float64(0.9246014113884963))","('Process Specialist', np.float64(0.9098240556771917))","('Mainframe Developer', np.float64(0.906251419416236))"
1422,"('Call Center Operations Analyst I', np.float64(0.9655838954269391))","('Customer Service Associate II', np.float64(0.9654258398517335))","('Business Analyst Senior', np.float64(0.9617197338263884))"
1423,"('Data science trainer', np.float64(0.9678648856207844))","('Operations and Customer Success Associate', np.float64(0.9641967376253937))","('EDI Analyst', np.float64(0.952752826955565))"
1424,"('Data Visualization', np.float64(0.8827359265141259))","('AEM-developer', np.float64(0.857146020001473))","('AEM-developer', np.float64(0.857146020001473))"
1425,"('Content development (special education)', np.float64(0.8444499197222887))","('STEM and Robotics Mentor', np.float64(0.7925622664658146))","('STEM and Robotics Mentor', np.float64(0.7925622664658146))"
1426,"('Financial Planning Analyst', np.float64(0.9911921838230768))","('Business Intelligence Analyst', np.float64(0.9854378967777313))","('Power App Developer', np.float64(0.98466711302048))"
1427,"('Postgre SQL', np.float64(0.80594250146753))","('Postgre SQL', np.float64(0.80594250146753))","('Google Analytics Implementation (Manager/Lead)', np.float64(0.7932725324013281))"
1428,"('Account Executive', np.float64(0.8565682940370648))","('Chartered Accountant (For Startup) 0-2 Years Exp', np.float64(0.8453392412320643))","('Hotel Accountant', np.float64(0.8435948403952207))"
1429,"('Financial Controller', np.float64(0.89929216802867))","('Business Analyst', np.float64(0.8957879476835917))","('R40008/R40009/R40010- Senior Internal Audit Analyst', np.float64(0.8833165892906825))"
1430,"('Node Developer', np.float64(0.994281901687934))","('Node Developer', np.float64(0.994281901687934))","('Developer', np.float64(0.994281901687934))"
1431,"('Enterprise Sales Manager', np.float64(0.9036071630424647))","('Advisor', np.float64(0.8897472354314004))","('Territory sales (Ed-tech)', np.float64(0.8799696352768756))"
1432,"('Content writer', np.float64(0.923467042831533))","('Backend executive', np.float64(0.9097279664036302))","('Business Analyst', np.float64(0.9062581379429695))"
1433,"('Assistant Manager Finance', np.float64(0.932982443371733))","('Senior Analyst', np.float64(0.9273423817579448))","('Senior Analyst', np.float64(0.9273423817579448))"
1434,"('Team Member - Culinary (Kitchen Staff)', np.float64(0.8657612923949654))","('Captain', np.float64(0.8610672073284972))","('Principal Engineer', np.float64(0.7816363661713582))"
1435,"('Lead - Fraud Analytics, Monitoring & Regulatory Reporting', np.float64(0.8178743596548634))","('Lead - Fraud Analytics, Monitoring & Regulatory Reporting', np.float64(0.8178743596548634))","('Assistant Vice President - Lead - Reporting & Analysis', np.float64(0.7948440209722556))"
1436,"('Chartered Financial Analyst', np.float64(0.9747241959370031))","('SOC Senior Analyst', np.float64(0.9363051511210425))","('Mainframe Developer', np.float64(0.8471259943768764))"
1437,"('Lead Generation - Team Leader', np.float64(0.9952678429782671))","('Microfocus ITOM consultant', np.float64(0.9863328099250793))","('Team Lead - Specialty Analyst', np.float64(0.9696488738059997))"
1438,"('Business Analyst', np.float64(0.9172920888219676))","('Senior Academic Counselor', np.float64(0.91111742602064))","('Sales And Marketing Specialist', np.float64(0.9007036510335261))"
1439,"('SAP HCM', np.float64(0.9665256685433191))","('Senior KYC/AML Analyst', np.float64(0.9599021848259403))","('Specialist', np.float64(0.9594476161176795))"
1440,"('Junior Blockchain Fullstack Developer', np.float64(0.9595251840670564))","('Full Stack Engineer', np.float64(0.9574880274766522))","('Full Stack Engineer', np.float64(0.9574880274766522))"
1441,"('Internet of Things Engineer', np.float64(0.9147463910122753))","('Back End Developer', np.float64(0.8869220939491653))","('Back End Developer', np.float64(0.8869220939491653))"
1442,"('Senior Research Analyst- Cost Model', np.float64(0.9218506505149284))","('Senior Actuarial Analyst', np.float64(0.9167079466647993))","('Senior Actuarial Analyst', np.float64(0.9167079466647993))"
1443,"('Sr Corporate Tax Analyst (Sales & Use Tax)', np.float64(0.8734843187008887))","('Sr Corporate Tax Analyst (Sales & Use Tax)', np.float64(0.8734843187008887))","('Finance Manager', np.float64(0.8684033841033958))"
1444,"('Sales Consultant | Bangalore | Freshers | Grads', np.float64(0.902836646267836))","('Field Marketing Representative', np.float64(0.8971505370918194))","('Service Now Developer', np.float64(0.8970752539952468))"
1445,"('Data science trainer', np.float64(0.9792428185274462))","('Sap Finance Control Consultant', np.float64(0.9791998456451291))","('Sap Finance Control Consultant', np.float64(0.9791998456451291))"
1446,"('Team Member - Culinary (Kitchen Staff)', np.float64(0.765465545220597))","('Python Developer, Forward Kitchens (Remote) - $60,000/year USD', np.float64(0.7639495510525329))","('Python Developer, Forward Kitchens (Remote) - $60,000/year USD', np.float64(0.7639495510525329))"
1447,"('Team Member - Culinary (Kitchen Staff)', np.float64(0.815492924584262))","('Online Space Food Development Internship', np.float64(0.8135603094775901))","('Space Food R&D Internship (Online)', np.float64(0.788054716723468))"
1448,"('Senior Professional Services Engineer', np.float64(0.9082423035078838))","('Full Stack Lead- NodeJs', np.float64(0.8750466326005119))","('Vendor Management Analyst', np.float64(0.864107726326361))"
1449,"('Hiring for US Process', np.float64(0.9675146195487629))","('Java Support Engineer', np.float64(0.959743876553227))","('Customer Service Representative', np.float64(0.9545686633717685))"
1450,"('Sales Consultant | Bangalore | Freshers | Grads', np.float64(0.9809624720209063))","('Business Development Manager', np.float64(0.9807860016822815))","('Business Development Manager', np.float64(0.9807860016822815))"
1451,"('Relationship Manager', np.float64(0.9483890191327667))","('Oracle Retail Expert', np.float64(0.9188459564092366))","('SailPoint Developer', np.float64(0.9101800548039443))"
1452,"('Associate Program Manager', np.float64(0.889471225825721))","('Spark Apache+Big Data  Exp:10-13 yrs', np.float64(0.8358913934120462))","('Spark Apache+Big Data  Exp:10-13 yrs', np.float64(0.8358913934120462))"
1453,"('Data Network - SD WAN', np.float64(0.9649838495703763))","('Informatica Developer', np.float64(0.9113302318931265))","('Informatica Developer', np.float64(0.9113302318931265))"
1454,"('Digital Marketing Executive/Manager', np.float64(0.8994460465227511))","('Digital Marketing Trainer cum Analyst', np.float64(0.8984750358689076))","('Digital Marketing Intern', np.float64(0.8761359205846306))"
1455,"('Azure Data Engineer', np.float64(0.8025956014467027))","('Azure Data Engineer', np.float64(0.8025956014467027))","('Azure Data Engineer', np.float64(0.8025956014467027))"
1456,"('Senior Manager Finance Account', np.float64(0.9770995588383758))","('Senior Manager - Finance and Accounts', np.float64(0.9723492755669062))","('Senior Analyst', np.float64(0.9616879402709235))"
1457,"('Work Force Management (WFM)Analyst-Bangalore-Immediate Joiners', np.float64(0.9395971945886099))","('Teamcenter customization - Architect', np.float64(0.9381177941117674))","('Manager Support (Microsoft D365)', np.float64(0.9187249484567872))"
1458,"('Lead AI Scientist - Chennai, India', np.float64(0.8673353959653394))","('Lead AI Scientist - Chennai, India', np.float64(0.8673353959653394))","('AEM-developer', np.float64(0.8308523841492237))"
1459,"('Sales Specialist', np.float64(0.918320956312113))","('Lead AI Scientist - Chennai, India', np.float64(0.8914924760543523))","('Lead AI Scientist - Chennai, India', np.float64(0.8914924760543523))"
1460,"('Business Development Manager', np.float64(0.9676112833701418))","('Business Development Manager', np.float64(0.9676112833701418))","('Senior Manager of Product Management', np.float64(0.9659227834252821))"
1461,"('Zumba Instructor', np.float64(0.7736440726251895))","('Founding Engineer (full stack)', np.float64(0.7616645490058477))","('IB Diploma Programme Coordinator, IB DP Coordinator', np.float64(0.7197271123366249))"
1462,"('Assistant Manager Finance', np.float64(0.9124068026645368))","('Process Executive - Credit and Collection', np.float64(0.8961626134183375))","('US TAX Analyst', np.float64(0.8894500773655651))"
